Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Country_from,Country_to,Year
Marc-Vivien Foé,Central Midfield,25,West Ham,Premier League,Olympique Lyon,Ligue 1,2000-2001,,9000000,England,France,2000
Sébastien Squillaci,Centre-Back,25,Monaco,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,7500000.0,4500000,France,France,2006
Frédéric Piquionne,Centre-Forward,29,Monaco,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,7000000.0,4500000,France,France,2008
Anthony Réveillère,Right-Back,23,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,5600000,France,France,2003
Kim Källström,Defensive Midfield,23,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,7500000.0,8000000,France,France,2006
John Mensah,Centre-Back,25,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,7500000.0,8400000,France,France,2008
Jimmy Briand,Centre-Forward,24,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2010-2011,7800000.0,6000000,France,France,2010
Tiago,Central Midfield,24,Chelsea,Premier League,Olympique Lyon,Ligue 1,2005-2006,10000000.0,10100000,England,France,2005
Bertrand Traoré,Right Winger,21,Chelsea,Premier League,Olympique Lyon,Ligue 1,2017-2018,8000000.0,10000000,England,France,2017
Fabio Grosso,Left-Back,29,Inter,Serie A,Olympique Lyon,Ligue 1,2007-2008,8500000.0,8700000,Italy,France,2007
Yoann Gourcuff,Attacking Midfield,24,G. Bordeaux,Ligue 1,Olympique Lyon,Ligue 1,2010-2011,22500000.0,22000000,France,France,2010
Lisandro López,Centre-Forward,26,FC Porto,Liga NOS,Olympique Lyon,Ligue 1,2009-2010,16500000.0,24000000,Portugal,France,2009
Aly Cissokho,Left-Back,21,FC Porto,Liga NOS,Olympique Lyon,Ligue 1,2009-2010,12000000.0,16200000,Portugal,France,2009
Anderson,Centre-Back,27,Benfica,Liga NOS,Olympique Lyon,Ligue 1,2007-2008,2600000.0,4300000,Portugal,France,2007
Sergi Darder,Central Midfield,21,Málaga CF,LaLiga,Olympique Lyon,Ligue 1,2015-2016,7500000.0,13100000,Spain,France,2015
Pape Cheikh,Central Midfield,20,Celta de Vigo,LaLiga,Olympique Lyon,Ligue 1,2017-2018,800000.0,10000000,Spain,France,2017
Edmílson,Centre-Back,23,São Paulo, Brazil,Olympique Lyon,Ligue 1,2000-2001,,11000000,Brazil,France,2000
Benoît Pedretti,Defensive Midfield,24,Marseille,Ligue 1,Olympique Lyon,Ligue 1,2005-2006,9000000.0,7500000,France,France,2005
Alou Diarra,Defensive Midfield,25,Lens,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,5000000.0,6250000,France,France,2006
Nilmar,Centre-Forward,20,Internacional, Brazil,Olympique Lyon,Ligue 1,2004-2005,,5750000,Brazil,France,2004
Patrick Müller,Centre-Back,23,Grasshoppers,Super League,Olympique Lyon,Ligue 1,2000-2001,,8000000,Switzerland,France,2000
Mahamadou Diarra,Defensive Midfield,21,Vitesse,Eredivisie,Olympique Lyon,Ligue 1,2002-2003,,3900000,Nederlands,France,2002
Memphis Depay,Left Winger,22,Man Utd,Premier League,Olympique Lyon,Ligue 1,2016-2017,25000000.0,16000000,England,France,2016
Mapou Yanga-Mbiwa,Centre-Back,26,AS Roma,Serie A,Olympique Lyon,Ligue 1,2015-2016,6500000.0,9400000,Italy,France,2015
Cris,Centre-Back,27,Cruzeiro, Brazil,Olympique Lyon,Ligue 1,2004-2005,,3500000,Brazil,France,2004
Éric Carrière,Attacking Midfield,28,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,,12000000,France,France,2001
Jérémy Toulalan,Defensive Midfield,22,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,7000000.0,7000000,France,France,2006
Péguy Luyindula,Centre-Forward,22,R. Strasbourg,Ligue 2,Olympique Lyon,Ligue 1,2001-2002,,8800000,France,France,2001
Giovane Elber,Centre-Forward,31,Bayern Munich ,1.Bundesliga,Olympique Lyon,Ligue 1,2003-2004,,4200000,Germany,France,2003
Frédéric Née,Centre-Forward,26,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,,7500000,France,France,2001
Michael Essien,Defensive Midfield,20,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,11700000,France,France,2003
Pierre-Alain Frau,Centre-Forward,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,2004-2005,,8500000,France,France,2004
Sylvain Monsoreau,Centre-Back,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,2005-2006,5000000.0,5000000,France,France,2005
John Carew,Centre-Forward,25,Besiktas,Süper Lig,Olympique Lyon,Ligue 1,2005-2006,7000000.0,7600000,Turkey,France,2005
Marcelo,Centre-Back,30,Besiktas,Süper Lig,Olympique Lyon,Ligue 1,2017-2018,6500000.0,7000000,Turkey,France,2017
Mathieu Valbuena,Left Winger,30,Dinamo Moscow,Premier Liga,Olympique Lyon,Ligue 1,2015-2016,11500000.0,6000000,Russia,France,2015
Éric Abidal,Left-Back,24,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2004-2005,,8500000,France,France,2004
Abdul Kader Keita,Right Winger,25,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2007-2008,18000000.0,16800000,France,France,2007
Mathieu Bodmer,Centre-Back,24,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2007-2008,10000000.0,6800000,France,France,2007
Jean II Makoun,Defensive Midfield,25,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,12500000.0,14000000,France,France,2008
Michel Bastos,Left Midfield,25,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2009-2010,10000000.0,18000000,France,France,2009
Martin Terrier,Left Winger,20,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2017-2018,12000000.0,11000000,France,France,2017
Miralem Pjanic,Central Midfield,18,FC Metz,Ligue 2,Olympique Lyon,Ligue 1,2008-2009,5500000.0,7500000,France,France,2008
Ederson,Attacking Midfield,22,OGC Nice,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,11000000.0,14900000,France,France,2008
Hugo Lloris,Goalkeeper,21,OGC Nice,Ligue 1,Olympique Lyon,Ligue 1,2008-2009,8500000.0,8500000,France,France,2008
Florent Malouda,Central Midfield,23,Guingamp,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,4000000,France,France,2003
Claudio Beauvue,Centre-Forward,27,Guingamp,Ligue 1,Olympique Lyon,Ligue 1,2015-2016,5000000.0,6000000,France,France,2015
Patrick Müller,Centre-Back,29,FC Basel,Super League,Olympique Lyon,Ligue 1,2005-2006,3000000.0,3800000,Switzerland,France,2005
Fred,Centre-Forward,21,Cruzeiro,Série A,Olympique Lyon,Ligue 1,2005-2006,7500000.0,15600000,Brazil,France,2005
Fábio Santos,Defensive Midfield,26,Cruzeiro,Série A,Olympique Lyon,Ligue 1,2006-2007,,4200000,Brazil,France,2006
Dejan Lovren,Centre-Back,20,Dinamo Zagreb,1.HNL,Olympique Lyon,Ligue 1,2009-2010,2500000.0,8000000,Croatia,France,2009
Bafétimbi Gomis,Centre-Forward,23,Saint-Étienne,Ligue 1,Olympique Lyon,Ligue 1,2009-2010,8000000.0,13000000,France,France,2009
César Delgado,Right Winger,26,CD Cruz Azul,Liga MX Clausura,Olympique Lyon,Ligue 1,2007-2008,3000000.0,6300000,Mexico,France,2007
Emanuel Mammana,Centre-Back,20,River Plate,Primera División,Olympique Lyon,Ligue 1,2016-2017,7000000.0,8500000,Argentina,France,2016
Tanguy Ndombélé,Central Midfield,21,SC Amiens,Ligue 1,Olympique Lyon,Ligue 1,2018-2019,25000000.0,8000000,France,France,2018
Omar Mascarell,Defensive Midfield,25,Real Madrid,LaLiga,FC Schalke 04,1.Bundesliga,2018-2019,8000000.0,10000000,Spain,Germany,2018
Aníbal Matellán,Centre-Back,24,Boca Juniors, Argentina,FC Schalke 04,1.Bundesliga,2001-2002,,4800000,Argentina,Germany,2001
Marc Wilmots,Attacking Midfield,32,G. Bordeaux,Ligue 1,FC Schalke 04,1.Bundesliga,2001-2002,,2000000,France,Germany,2001
Klaas-Jan Huntelaar,Centre-Forward,27,AC Milan,Serie A,FC Schalke 04,1.Bundesliga,2010-2011,13000000.0,14000000,Italy,Germany,2010
Kevin-Prince Boateng,Central Midfield,26,AC Milan,Serie A,FC Schalke 04,1.Bundesliga,2013-2014,15000000.0,10000000,Italy,Germany,2013
Gustavo Varela,Right Midfield,24,Nacional, Uruguay,FC Schalke 04,1.Bundesliga,2002-2003,,2000000,Uruguay,Germany,2002
Darío Rodríguez,Left-Back,27,Peñarol, Uruguay,FC Schalke 04,1.Bundesliga,2002-2003,,4000000,Uruguay,Germany,2002
Nabil Bentaleb,Defensive Midfield,22,Spurs,Premier League,FC Schalke 04,1.Bundesliga,2017-2018,18000000.0,19000000,England,Germany,2017
Jefferson Farfán,Right Winger,23,PSV Eindhoven,Eredivisie,FC Schalke 04,1.Bundesliga,2008-2009,14500000.0,10000000,Nederlands,Germany,2008
Benjamin Stambouli,Centre-Back,26,Paris SG,Ligue 1,FC Schalke 04,1.Bundesliga,2016-2017,7000000.0,8000000,France,Germany,2016
Amine Harit,Attacking Midfield,20,FC Nantes,Ligue 1,FC Schalke 04,1.Bundesliga,2017-2018,2000000.0,8000000,France,Germany,2017
Orlando Engelaar,Defensive Midfield,28,FC Twente,Eredivisie,FC Schalke 04,1.Bundesliga,2008-2009,3500000.0,5500000,Nederlands,Germany,2008
Frank Rost,Goalkeeper,29,Werder Bremen,1.Bundesliga,FC Schalke 04,1.Bundesliga,2002-2003,,6250000,Germany,Germany,2002
Franco Di Santo,Centre-Forward,26,Werder Bremen,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,8500000.0,6000000,Germany,Germany,2015
Victor Agali,Centre-Forward,22,Hansa Rostock,1.Bundesliga,FC Schalke 04,1.Bundesliga,2001-2002,,5100000,Germany,Germany,2001
Christian Poulsen,Defensive Midfield,22,FC Copenhagen, Denmark,FC Schalke 04,1.Bundesliga,2002-2003,,7000000,Denmark,Germany,2002
José Manuel Jurado,Attacking Midfield,24,Atlético Madrid,LaLiga,FC Schalke 04,1.Bundesliga,2010-2011,13000000.0,11000000,Spain,Germany,2010
Salif Sané,Centre-Back,27,Hannover 96,1.Bundesliga,FC Schalke 04,1.Bundesliga,2018-2019,18000000.0,7000000,Germany,Germany,2018
Yevhen Konoplyanka,Left Winger,27,Sevilla FC,LaLiga,FC Schalke 04,1.Bundesliga,2017-2018,10000000.0,12500000,Spain,Germany,2017
Ivan Rakitic,Central Midfield,19,FC Basel,Super League,FC Schalke 04,1.Bundesliga,2007-2008,5000000.0,5000000,Switzerland,Germany,2007
Breel Embolo,Centre-Forward,19,FC Basel,Super League,FC Schalke 04,1.Bundesliga,2016-2017,20000000.0,22500000,Switzerland,Germany,2016
Hamit Altintop,Central Midfield,20,Wattenscheid 09,Regionalliga Nord,FC Schalke 04,1.Bundesliga,2003-2004,,1800000,Germany,Germany,2003
Matija Nastasic,Centre-Back,22,Man City,Premier League,FC Schalke 04,1.Bundesliga,2015-2016,14000000.0,9500000,England,Germany,2015
Marcelo Bordon,Centre-Back,28,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,2004-2005,,4000000,Germany,Germany,2004
Kevin Kuranyi,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,2005-2006,8000000.0,6900000,Germany,Germany,2005
Rafinha,Right-Back,19,Coritiba FC,Série A,FC Schalke 04,1.Bundesliga,2005-2006,4500000.0,5000000,Brazil,Germany,2005
Sören Larsen,Centre-Forward,23,Djurgarden,Allsvenskan,FC Schalke 04,1.Bundesliga,2005-2006,,2300000,Sweden,Germany,2005
Chinedu Obasi,Right Winger,26,TSG Hoffenheim,1.Bundesliga,FC Schalke 04,1.Bundesliga,2012-2013,4500000.0,4000000,Germany,Germany,2012
Christian Fuchs,Left-Back,25,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2011-2012,5000000.0,3800000,Germany,Germany,2011
Ádám Szalai,Centre-Forward,25,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2013-2014,7000000.0,8000000,Germany,Germany,2013
Johannes Geis,Defensive Midfield,21,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,11000000.0,10500000,Germany,Germany,2015
Suat Serdar,Central Midfield,21,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2018-2019,7500000.0,11000000,Germany,Germany,2018
Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,Premier League,2000-2001,,26000000,England,England,2000
Robbie Keane,Centre-Forward,20,Inter,Serie A,Leeds,Premier League,2001-2002,,18000000,Italy,England,2001
Olivier Dacourt,Defensive Midfield,25,Lens,Ligue 1,Leeds,Premier League,2000-2001,,10500000,France,England,2000
Mark Viduka,Centre-Forward,24,Celtic, Scotland,Leeds,Premier League,2000-2001,,9150000,Scotland,England,2000
Dominic Matteo,Left-Back,26,Liverpool,Premier League,Leeds,Premier League,2000-2001,,7130000,England,England,2000
Robbie Fowler,Centre-Forward,26,Liverpool,Premier League,Leeds,Premier League,2001-2002,,16800000,England,England,2001
Nick Barmby,Left Midfield,28,Liverpool,Premier League,Leeds,Premier League,2002-2003,,4500000,England,England,2002
Seth Johnson,Central Midfield,22,Derby,Premier League,Leeds,Premier League,2001-2002,,11500000,England,England,2001
Paulo Wanchope,Centre-Forward,24,West Ham,Premier League,Man City,First Division,2001-2002,,5600000,England,England,2001
Jon Macken,Centre-Forward,24,Preston NE,First Division,Man City,First Division,2001-2002,,7500000,England,England,2001
Jihai Sun,Centre-Back,24,DL Shide, China,Man City,First Division,2001-2002,,3260000,China,England,2001
Lucién Mettomo,Centre-Back,24,Saint-Étienne,Ligue 2,Man City,First Division,2001-2002,,2250000,France,England,2001
Christian Negouai,Defensive Midfield,23,RSC Charleroi,Jupiler Pro League,Man City,First Division,2001-2002,,2250000,Belgium,England,2001
Nigel Reo-Coker,Defensive Midfield,23,West Ham,Premier League,Aston Villa,Premier League,2007-2008,4300000.0,12500000,England,England,2007
Marlon Harewood,Centre-Forward,27,West Ham,Premier League,Aston Villa,Premier League,2007-2008,4500000.0,5500000,England,England,2007
James Collins,Centre-Back,26,West Ham,Premier League,Aston Villa,Premier League,2009-2010,2000000.0,5700000,England,England,2009
Carles Gil,Right Winger,22,Valencia CF,LaLiga,Aston Villa,Premier League,2014-2015,6000000.0,4200000,Spain,England,2014
Juan Pablo Ángel,Centre-Forward,25,River Plate, Argentina,Aston Villa,Premier League,2000-2001,,14400000,Argentina,England,2000
Steve Sidwell,Central Midfield,25,Chelsea,Premier League,Aston Villa,Premier League,2008-2009,4000000.0,6300000,England,England,2008
Libor Kozak,Centre-Forward,24,Lazio,Serie A,Aston Villa,Premier League,2013-2014,3800000.0,6500000,Italy,England,2013
Alpay Özalan,Centre-Back,27,Fenerbahce,Süper Lig,Aston Villa,Premier League,2000-2001,,9000000,Turkey,England,2000
Bosko Balaban,Centre-Forward,22,Dinamo Zagreb, Croatia,Aston Villa,Premier League,2001-2002,,7800000,Croatia,England,2001
Ron Vlaar,Centre-Back,27,Feyenoord,Eredivisie,Aston Villa,Premier League,2012-2013,6000000.0,3800000,Nederlands,England,2012
Milan Baros,Centre-Forward,23,Liverpool,Premier League,Aston Villa,Premier League,2005-2006,17500000.0,8840000,England,England,2005
Nolberto Solano,Right Midfield,29,Newcastle,Premier League,Aston Villa,Premier League,2003-2004,,2000000,England,England,2003
James Milner,Central Midfield,22,Newcastle,Premier League,Aston Villa,Premier League,2008-2009,8500000.0,15000000,England,England,2008
Martin Laursen,Centre-Back,26,AC Milan,Serie A,Aston Villa,Premier League,2004-2005,,4000000,Italy,England,2004
Eric Djemba-Djemba,Defensive Midfield,23,Man Utd,Premier League,Aston Villa,Premier League,2004-2005,7000000.0,2540000,England,England,2004
Ulises de la Cruz,Right-Back,28,Hibernian FC, Scotland,Aston Villa,Premier League,2002-2003,,2700000,Scotland,England,2002
Darren Bent,Centre-Forward,26,Sunderland,Premier League,Aston Villa,Premier League,2010-2011,18000000.0,21500000,England,England,2010
Alan Hutton,Right-Back,26,Spurs,Premier League,Aston Villa,Premier League,2011-2012,7500000.0,4500000,England,England,2011
Wilfred Bouma,Left-Back,27,PSV Eindhoven,Eredivisie,Aston Villa,Premier League,2005-2006,5000000.0,4700000,Nederlands,England,2005
Jean II Makoun,Defensive Midfield,27,Olympique Lyon,Ligue 1,Aston Villa,Premier League,2010-2011,7500000.0,6200000,France,England,2010
Mathieu Berson,Defensive Midfield,24,FC Nantes,Ligue 1,Aston Villa,Premier League,2004-2005,,2300000,France,England,2004
Jordan Veretout,Central Midfield,22,FC Nantes,Ligue 1,Aston Villa,Premier League,2015-2016,8000000.0,10000000,France,England,2015
Mustapha Hadji,Attacking Midfield,29,Coventry City,First Division,Aston Villa,Premier League,2001-2002,,4000000,England,England,2001
Peter Crouch,Centre-Forward,21,Portsmouth,First Division,Aston Villa,Premier League,2001-2002,,7500000,England,England,2001
Olof Mellberg,Centre-Back,23,Racing,LaLiga2,Aston Villa,Premier League,2001-2002,,6800000,Spain,England,2001
Stephen Warnock,Left-Back,27,Blackburn,Premier League,Aston Villa,Premier League,2009-2010,5100000.0,9000000,England,England,2009
Jordan Ayew,Centre-Forward,23,FC Lorient,Ligue 1,Aston Villa,Premier League,2015-2016,6000000.0,12000000,France,England,2015
Idrissa Gueye,Central Midfield,25,LOSC Lille,Ligue 1,Aston Villa,Premier League,2015-2016,7500000.0,9000000,France,England,2015
Jordan Amavi,Left-Back,21,OGC Nice,Ligue 1,Aston Villa,Premier League,2015-2016,4000000.0,11000000,France,England,2015
Marcus Allbäck,Centre-Forward,29,Heerenveen,Eredivisie,Aston Villa,Premier League,2002-2003,,3000000,Nederlands,England,2002
Stefan Postma,Goalkeeper,26,De Graafschap,Eredivisie,Aston Villa,Premier League,2002-2003,,2230000,Nederlands,England,2002
Mark Kinsella,Defensive Midfield,29,Charlton,Premier League,Aston Villa,Premier League,2002-2003,,1150000,England,England,2002
Zat Knight,Centre-Back,27,Fulham,Premier League,Aston Villa,Premier League,2007-2008,3300000.0,4700000,England,England,2007
Carlos Cuéllar,Centre-Back,26,Rangers,Premiership,Aston Villa,Premier League,2008-2009,6000000.0,10000000,Scotland,England,2008
Christian Benteke,Centre-Forward,21,KRC Genk,Jupiler Pro League,Aston Villa,Premier League,2012-2013,3000000.0,8800000,Belgium,England,2012
Gavin McCann,Central Midfield,25,Sunderland,First Division,Aston Villa,Premier League,2003-2004,,3380000,England,England,2003
Thomas Sörensen,Goalkeeper,27,Sunderland,First Division,Aston Villa,Premier League,2003-2004,,3000000,England,England,2003
Stiliyan Petrov,Central Midfield,27,Celtic,Premiership,Aston Villa,Premier League,2006-2007,7350000.0,10000000,Scotland,England,2006
Richard Dunne,Centre-Back,29,Man City,Premier League,Aston Villa,Premier League,2009-2010,9500000.0,6800000,England,England,2009
Stephen Ireland,Attacking Midfield,24,Man City,Premier League,Aston Villa,Premier League,2010-2011,13000000.0,9700000,England,England,2010
Shay Given,Goalkeeper,35,Man City,Premier League,Aston Villa,Premier League,2011-2012,5500000.0,3750000,England,England,2011
Charles N'Zogbia,Right Winger,25,Wigan,Premier League,Aston Villa,Premier League,2011-2012,9000000.0,10800000,England,England,2011
Curtis Davies,Centre-Back,23,West Brom,Premier League,Aston Villa,Premier League,2008-2009,3500000.0,10000000,England,England,2008
Jores Okore,Centre-Back,20,Nordsjaelland,Superligaen,Aston Villa,Premier League,2013-2014,4000000.0,4700000,Denmark,England,2013
Ashley Young,Left Midfield,21,Watford,Premier League,Aston Villa,Premier League,2006-2007,6500000.0,13200000,England,England,2006
Nicky Shorey,Left-Back,27,Reading,Championship,Aston Villa,Premier League,2008-2009,6000000.0,4400000,England,England,2008
Stewart Downing,Left Midfield,25,Middlesbrough,Championship,Aston Villa,Premier League,2009-2010,11000000.0,13000000,England,England,2009
Fabian Delph,Central Midfield,19,Leeds,League One,Aston Villa,Premier League,2009-2010,100000.0,9500000,England,England,2009
Rudy Gestede,Centre-Forward,26,Blackburn,Championship,Aston Villa,Premier League,2015-2016,3500000.0,8500000,England,England,2015
Matthew Lowton,Right-Back,23,Sheffield Utd.,League One,Aston Villa,Premier League,2012-2013,3500000.0,3750000,England,England,2012
Carlos Sánchez,Defensive Midfield,28,Elche CF,LaLiga,Aston Villa,Premier League,2014-2015,4000000.0,6000000,Spain,England,2014
Adama Traoré,Right Winger,19,FC Barcelona B,2ª B - Grupo III,Aston Villa,Premier League,2015-2016,5000000.0,10000000,Spain,England,2015
Mohamed Diamé,Central Midfield,27,West Ham,Premier League,Hull City,Premier League,2014-2015,7000000.0,4400000,England,England,2014
Kamil Grosicki,Right Winger,28,Stade Rennais,Ligue 1,Hull City,Premier League,2016-2017,6000000.0,9000000,France,England,2016
Nikica Jelavic,Centre-Forward,28,Everton,Premier League,Hull City,Premier League,2013-2014,6500000.0,7800000,England,England,2013
Tom Huddlestone,Defensive Midfield,26,Spurs,Premier League,Hull City,Premier League,2013-2014,4500000.0,5800000,England,England,2013
Jake Livermore,Defensive Midfield,24,Spurs,Premier League,Hull City,Premier League,2014-2015,2500000.0,7000000,England,England,2014
Michael Dawson,Centre-Back,30,Spurs,Premier League,Hull City,Premier League,2014-2015,6500000.0,4400000,England,England,2014
Ryan Mason,Central Midfield,25,Spurs,Premier League,Hull City,Premier League,2016-2017,7500000.0,15400000,England,England,2016
Jimmy Bullard,Central Midfield,30,Fulham,Premier League,Hull City,Premier League,2008-2009,4500000.0,5300000,England,England,2008
Robert Snodgrass,Right Winger,26,Norwich,Championship,Hull City,Premier League,2014-2015,5500000.0,7500000,England,England,2014
Abel Hernández,Centre-Forward,24,US Palermo,Serie A,Hull City,Premier League,2014-2015,5000000.0,12000000,Italy,England,2014
Shane Long,Centre-Forward,27,West Brom,Premier League,Hull City,Premier League,2013-2014,5500000.0,8500000,England,England,2013
Stephen Hunt,Left Midfield,28,Reading,Championship,Hull City,Premier League,2009-2010,4000000.0,4000000,England,England,2009
Seyi Olofinjana,Central Midfield,29,Stoke City,Premier League,Hull City,Premier League,2009-2010,2200000.0,3500000,England,England,2009
Stewart Downing,Left Midfield,31,West Ham,Premier League,Middlesbrough,Championship,2015-2016,6000000.0,7900000,England,England,2015
Ashley Fletcher,Centre-Forward,21,West Ham,Premier League,Middlesbrough,Championship,2017-2018,1000000.0,7300000,England,England,2017
David Nugent,Centre-Forward,30,Leicester,Premier League,Middlesbrough,Championship,2015-2016,2000000.0,5600000,England,England,2015
Scott McDonald,Centre-Forward,26,Celtic,Premiership,Middlesbrough,Championship,2009-2010,6000000.0,4300000,Scotland,England,2009
Britt Assombalonga,Centre-Forward,24,Nottm Forest,Championship,Middlesbrough,Championship,2017-2018,5000000.0,17100000,England,England,2017
Martin Braithwaite,Centre-Forward,26,Toulouse,Ligue 1,Middlesbrough,Championship,2017-2018,7500000.0,11300000,France,England,2017
Jordan Rhodes,Centre-Forward,26,Blackburn,Championship,Middlesbrough,Championship,2015-2016,10000000.0,11900000,England,England,2015
Aden Flint,Centre-Back,28,Bristol City,Championship,Middlesbrough,Championship,2018-2019,5000000.0,8000000,England,England,2018
Paddy McNair,Centre-Back,23,Sunderland,League One,Middlesbrough,Championship,2018-2019,3000000.0,5700000,England,England,2018
Dimitri Payet,Attacking Midfield,29,West Ham,Premier League,Marseille,Ligue 1,2016-2017,30000000.0,29300000,England,France,2016
Gaël Givet,Centre-Back,25,Monaco,Ligue 1,Marseille,Ligue 1,2007-2008,6500000.0,5000000,France,France,2007
Lucas Ocampos,Left Winger,20,Monaco,Ligue 1,Marseille,Ligue 1,2015-2016,6500000.0,7500000,France,France,2015
Valère Germain,Centre-Forward,27,Monaco,Ligue 1,Marseille,Ligue 1,2017-2018,10000000.0,8000000,France,France,2017
Stéphane Mbia,Defensive Midfield,23,Stade Rennais,Ligue 1,Marseille,Ligue 1,2009-2010,9500000.0,12000000,France,France,2009
Rod Fanni,Right-Back,29,Stade Rennais,Ligue 1,Marseille,Ligue 1,2010-2011,7500000.0,4000000,France,France,2010
Romain Alessandrini,Left Winger,25,Stade Rennais,Ligue 1,Marseille,Ligue 1,2014-2015,7500000.0,5000000,France,France,2014
Eduardo Costa,Defensive Midfield,21,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2004-2005,,6000000,France,France,2004
Souleymane Diawara,Centre-Back,30,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2009-2010,7500000.0,6500000,France,France,2009
Alou Diarra,Defensive Midfield,29,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2011-2012,12000000.0,5000000,France,France,2011
Lucho González,Central Midfield,28,FC Porto,Liga NOS,Marseille,Ligue 1,2009-2010,20000000.0,19000000,Portugal,France,2009
Konstantinos Mitroglou,Centre-Forward,29,Benfica,Liga NOS,Marseille,Ligue 1,2017-2018,12000000.0,15000000,Portugal,France,2017
Mido,Centre-Forward,20,AFC Ajax,Eredivisie,Marseille,Ligue 1,2003-2004,,6000000,Nederlands,France,2003
Djibril Cissé,Centre-Forward,25,Liverpool,Premier League,Marseille,Ligue 1,2007-2008,13500000.0,9000000,England,France,2007
Habib Bamogo,Second Striker,22,Montpellier,Ligue 2,Marseille,Ligue 1,2004-2005,,3000000,France,France,2004
Lucas Bernardi,Central Midfield,22,Newell's, Argentina,Marseille,Ligue 1,2000-2001,,6000000,Argentina,France,2000
Florian Thauvin,Right Winger,24,Newcastle,Premier League,Marseille,Ligue 1,2017-2018,18000000.0,11000000,England,France,2017
Fernandão,Centre-Forward,22,Goiás EC, Brazil,Marseille,Ligue 1,2000-2001,,5000000,Brazil,France,2000
Benoît Cheyrou,Defensive Midfield,26,AJ Auxerre,Ligue 1,Marseille,Ligue 1,2007-2008,5000000.0,5000000,France,France,2007
Brandão,Centre-Forward,28,Shakhtar D.,Premier Liga,Marseille,Ligue 1,2008-2009,5000000.0,6000000,Ukraine,France,2008
Ronald Zubar,Centre-Back,20,SM Caen,Ligue 2,Marseille,Ligue 1,2006-2007,3750000.0,3500000,France,France,2006
Clinton N'Jie,Centre-Forward,23,Spurs,Premier League,Marseille,Ligue 1,2017-2018,7000000.0,7000000,England,France,2017
Péguy Luyindula,Centre-Forward,25,Olympique Lyon,Ligue 1,Marseille,Ligue 1,2004-2005,,10000000,France,France,2004
Hatem Ben Arfa,Attacking Midfield,21,Olympique Lyon,Ligue 1,Marseille,Ligue 1,2008-2009,10000000.0,12000000,France,France,2008
Fabrice Fiorèse,Right Winger,29,Paris SG,Ligue 1,Marseille,Ligue 1,2004-2005,,3000000,France,France,2004
Lorik Cana,Centre-Back,22,Paris SG,Ligue 1,Marseille,Ligue 1,2005-2006,2800000.0,4000000,France,France,2005
Modeste M'Bami,Defensive Midfield,23,Paris SG,Ligue 1,Marseille,Ligue 1,2006-2007,5000000.0,2500000,France,France,2006
René-Salomon Olembé,Left Midfield,21,FC Nantes,Ligue 1,Marseille,Ligue 1,2002-2003,,2000000,France,France,2002
Daniel Van Buyten,Centre-Back,23,Standard Liège,Jupiler Pro League,Marseille,Ligue 1,2001-2002,,11500000,Belgium,France,2001
Michy Batshuayi,Centre-Forward,20,Standard Liège,Jupiler Pro League,Marseille,Ligue 1,2014-2015,8000000.0,6000000,Belgium,France,2014
Brahim Hemdani,Defensive Midfield,23,R. Strasbourg,Ligue 2,Marseille,Ligue 1,2001-2002,,4000000,France,France,2001
