Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Country_from,Country_to,Year
Neymar,Left Winger,25,FC Barcelona,LaLiga,Paris SG,Ligue 1,2017-2018,100000000.0,222000000,Spain,France,2017
Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Paris SG,Ligue 1,2000-2001,,34500000,Spain,France,2000
Jesé,Left Winger,23,Real Madrid,LaLiga,Paris SG,Ligue 1,2016-2017,14000000.0,25000000,Spain,France,2016
Jérôme Rothen,Left Midfield,26,Monaco,Ligue 1,Paris SG,Ligue 1,2004-2005,,10000000,France,France,2004
Nenê,Attacking Midfield,29,Monaco,Ligue 1,Paris SG,Ligue 1,2010-2011,10000000.0,5000000,France,France,2010
Layvin Kurzawa,Left-Back,22,Monaco,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000.0,25000000,France,France,2015
Kylian Mbappé,Right Winger,19,Monaco,Ligue 1,Paris SG,Ligue 1,2018-2019,120000000.0,135000000,France,France,2018
Hugo Leal,Central Midfield,21,Atlético Madrid,LaLiga2,Paris SG,Ligue 1,2001-2002,,9500000,Spain,France,2001
Alex,Centre-Back,29,Chelsea,Premier League,Paris SG,Ligue 1,2011-2012,13000000.0,5000000,England,France,2011
David Luiz,Centre-Back,27,Chelsea,Premier League,Paris SG,Ligue 1,2014-2015,26000000.0,49500000,England,France,2014
Thiago Motta,Defensive Midfield,29,Inter,Serie A,Paris SG,Ligue 1,2011-2012,15000000.0,11500000,Italy,France,2011
Pauleta,Centre-Forward,30,G. Bordeaux,Ligue 1,Paris SG,Ligue 1,2003-2004,,11000000,France,France,2003
Gonçalo Guedes,Left Winger,20,Benfica,Liga NOS,Paris SG,Ligue 1,2016-2017,9000000.0,30000000,Portugal,France,2016
Gregory van der Wiel,Right-Back,24,AFC Ajax,Eredivisie,Paris SG,Ligue 1,2012-2013,9000000.0,6000000,Nederlands,France,2012
Stéphane Dalmat,Central Midfield,21,Marseille,Ligue 1,Paris SG,Ligue 1,2000-2001,,10750000,France,France,2000
Péguy Luyindula,Centre-Forward,27,Marseille,Ligue 1,Paris SG,Ligue 1,2006-2007,5000000.0,4000000,France,France,2006
André Luiz,Attacking Midfield,27,CD Tenerife,LaLiga2,Paris SG,Ligue 1,2002-2003,,11000000,Spain,France,2002
Mateja Kezman,Centre-Forward,30,Fenerbahce,Süper Lig,Paris SG,Ligue 1,2009-2010,2700000.0,3700000,Turkey,France,2009
Mohamed Sissoko,Defensive Midfield,26,Juventus,Serie A,Paris SG,Ligue 1,2011-2012,7500000.0,8000000,Italy,France,2011
Gabriel Heinze,Centre-Back,23,Real Valladolid,LaLiga,Paris SG,Ligue 1,2001-2002,,3500000,Spain,France,2001
Didier Domi,Left-Back,23,Newcastle,Premier League,Paris SG,Ligue 1,2001-2002,,5580000,England,France,2001
Yohan Cabaye,Central Midfield,28,Newcastle,Premier League,Paris SG,Ligue 1,2013-2014,20000000.0,25000000,England,France,2013
Vikash Dhorasoo,Central Midfield,31,AC Milan,Serie A,Paris SG,Ligue 1,2005-2006,4000000.0,3200000,Italy,France,2005
Thiago Silva,Centre-Back,27,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,38000000.0,42000000,Italy,France,2012
Zlatan Ibrahimovic,Centre-Forward,30,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,37000000.0,21000000,Italy,France,2012
Bonaventure Kalou,Right Winger,27,AJ Auxerre,Ligue 1,Paris SG,Ligue 1,2005-2006,7500000.0,8500000,France,France,2005
Ángel Di María,Right Winger,27,Man Utd,Premier League,Paris SG,Ligue 1,2015-2016,50000000.0,63000000,England,France,2015
Jérémy Ménez,Second Striker,24,AS Roma,Serie A,Paris SG,Ligue 1,2011-2012,15000000.0,8000000,Italy,France,2011
Marquinhos,Centre-Back,19,AS Roma,Serie A,Paris SG,Ligue 1,2013-2014,15000000.0,31400000,Italy,France,2013
Bernard Mendy,Right-Back,18,SM Caen,Ligue 2,Paris SG,Ligue 1,2000-2001,,2700000,France,France,2000
David Rozehnal,Centre-Back,25,Club Brugge,Jupiler Pro League,Paris SG,Ligue 1,2005-2006,2500000.0,3000000,Belgium,France,2005
Benjamin Stambouli,Centre-Back,24,Spurs,Premier League,Paris SG,Ligue 1,2015-2016,5000000.0,8600000,England,France,2015
Pierre-Alain Frau,Centre-Forward,26,Olympique Lyon,Ligue 1,Paris SG,Ligue 1,2006-2007,4500000.0,5000000,France,France,2006
Reinaldo,Centre-Forward,24,Flamengo, Brazil,Paris SG,Ligue 1,2003-2004,,10000000,Brazil,France,2003
Branko Boskovic,Central Midfield,23,Red Star, Serbia,Paris SG,Ligue 1,2003-2004,,6000000,Serbia,France,2003
Mario Yepes,Centre-Back,28,FC Nantes,Ligue 1,Paris SG,Ligue 1,2004-2005,,10000000,France,France,2004
Sylvain Armand,Centre-Back,23,FC Nantes,Ligue 1,Paris SG,Ligue 1,2004-2005,,5000000,France,France,2004
Amara Diané,Right Winger,23,R. Strasbourg,Ligue 2,Paris SG,Ligue 1,2006-2007,3000000.0,3000000,France,France,2006
Ronaldinho,Attacking Midfield,21,Grêmio, Brazil,Paris SG,Ligue 1,2001-2002,,5100000,Brazil,France,2001
Mevlüt Erdinc,Centre-Forward,22,FC Sochaux,Ligue 1,Paris SG,Ligue 1,2009-2010,7500000.0,8500000,France,France,2009
Julian Draxler,Central Midfield,23,VfL Wolfsburg,1.Bundesliga,Paris SG,Ligue 1,2016-2017,28000000.0,40000000,Germany,France,2016
Kévin Gameiro,Centre-Forward,24,FC Lorient,Ligue 1,Paris SG,Ligue 1,2011-2012,13500000.0,11000000,France,France,2011
Lucas Digne,Left-Back,20,LOSC Lille,Ligue 1,Paris SG,Ligue 1,2013-2014,10000000.0,15000000,France,France,2013
Yuri Berchiche,Left-Back,27,Real Sociedad,LaLiga,Paris SG,Ligue 1,2017-2018,10000000.0,16000000,Spain,France,2017
Filipe Teixeira,Right Winger,21,Istres FC,Ligue 2,Paris SG,Ligue 1,2002-2003,,1000000,France,France,2002
Grzegorz Krychowiak,Defensive Midfield,26,Sevilla FC,LaLiga,Paris SG,Ligue 1,2016-2017,30000000.0,27500000,Spain,France,2016
Danijel Ljuboja,Centre-Forward,25,R. Strasbourg,Ligue 1,Paris SG,Ligue 1,2003-2004,,3300000,France,France,2003
Modeste M'Bami,Defensive Midfield,20,CS Sedan,Ligue 2,Paris SG,Ligue 1,2003-2004,,3000000,France,France,2003
Hakan Yakin,Attacking Midfield,26,FC Basel,Super League,Paris SG,Ligue 1,2003-2004,,1600000,Switzerland,France,2003
Sergey Semak,Central Midfield,28,CSKA Moscow,Premier Liga,Paris SG,Ligue 1,2004-2005,1000000.0,2500000,Russia,France,2004
Souza,Attacking Midfield,28,São Paulo,Série A,Paris SG,Ligue 1,2007-2008,4000000.0,4000000,Brazil,France,2007
Lucas Moura,Right Winger,20,São Paulo,Série A,Paris SG,Ligue 1,2012-2013,35000000.0,40000000,Brazil,France,2012
Javier Pastore,Attacking Midfield,22,US Palermo,Serie A,Paris SG,Ligue 1,2011-2012,21000000.0,42000000,Italy,France,2011
Salvatore Sirigu,Goalkeeper,24,US Palermo,Serie A,Paris SG,Ligue 1,2011-2012,10000000.0,3900000,Italy,France,2011
Fabrice Pancrate,Right Winger,25,Le Mans,Ligue 1,Paris SG,Ligue 1,2005-2006,4000000.0,3000000,France,France,2005
Stéphane Sessègnon,Attacking Midfield,24,Le Mans,Ligue 1,Paris SG,Ligue 1,2008-2009,5000000.0,8000000,France,France,2008
Zoumana Camara,Centre-Back,28,Saint-Étienne,Ligue 1,Paris SG,Ligue 1,2007-2008,4500000.0,6000000,France,France,2007
Blaise Matuidi,Central Midfield,24,Saint-Étienne,Ligue 1,Paris SG,Ligue 1,2011-2012,8000000.0,8000000,France,France,2011
Serge Aurier,Right-Back,22,Toulouse,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000.0,10000000,France,France,2015
Ezequiel Lavezzi,Second Striker,27,SSC Napoli,Serie A,Paris SG,Ligue 1,2012-2013,30000000.0,28950000,Italy,France,2012
Edinson Cavani,Centre-Forward,26,SSC Napoli,Serie A,Paris SG,Ligue 1,2013-2014,55000000.0,64500000,Italy,France,2013
Marco Verratti,Central Midfield,19,Pescara,Serie A,Paris SG,Ligue 1,2012-2013,10000000.0,12000000,Italy,France,2012
Kevin Trapp,Goalkeeper,25,E. Frankfurt,1.Bundesliga,Paris SG,Ligue 1,2015-2016,8000000.0,9500000,Germany,France,2015
Giovani Lo Celso,Central Midfield,20,CA Rosario,Primera División,Paris SG,Ligue 1,2016-2017,7500000.0,10000000,Argentina,France,2016
Ronald de Boer,Right Winger,30,FC Barcelona,LaLiga,Rangers, Scotland,2000-2001,,5500000,Spain,Scotland,2000
Mikel Arteta,Central Midfield,20,FC Barcelona,LaLiga,Rangers, Scotland,2002-2003,,7900000,Spain,Scotland,2002
Tore André Flo,Centre-Forward,27,Chelsea,Premier League,Rangers, Scotland,2000-2001,,18000000,England,Scotland,2000
Michael Ball,Left-Back,21,Everton,Premier League,Rangers, Scotland,2001-2002,,9750000,England,Scotland,2001
Shota Arveladze,Centre-Forward,28,AFC Ajax,Eredivisie,Rangers, Scotland,2001-2002,,4500000,Nederlands,Scotland,2001
Bert Konterman,Centre-Back,29,Feyenoord,Eredivisie,Rangers, Scotland,2000-2001,,7250000,Nederlands,Scotland,2000
Fernando Ricksen,Right-Back,23,AZ Alkmaar,Eredivisie,Rangers, Scotland,2000-2001,,5400000,Nederlands,Scotland,2000
Kenny Miller,Centre-Forward,20,Hibernian FC, Scotland,Rangers, Scotland,2000-2001,,3000000,Scotland,Scotland,2000
Jesper Christiansen,Goalkeeper,22,Odense BK, Denmark,Rangers, Scotland,2000-2001,,2550000,Denmark,Scotland,2000
Peter Lövenkrands,Centre-Forward,20,Akademisk BK, Denmark,Rangers, Scotland,2000-2001,,2200000,Denmark,Scotland,2000
Christian Nerlinger,Defensive Midfield,28,Bor. Dortmund,1.Bundesliga,Rangers, Scotland,2001-2002,,3000000,Germany,Scotland,2001
Francesc Arnau,Goalkeeper,25,FC Barcelona,LaLiga,Málaga CF,LaLiga,2000-2001,,2100000,Spain,Spain,2000
Joaquín,Right Winger,29,Valencia CF,LaLiga,Málaga CF,LaLiga,2011-2012,10000000.0,4200000,Spain,Spain,2011
Jérémy Toulalan,Defensive Midfield,27,Olympique Lyon,Ligue 1,Málaga CF,LaLiga,2011-2012,18000000.0,11000000,France,Spain,2011
Santi Cazorla,Central Midfield,26,Villarreal CF,LaLiga,Málaga CF,LaLiga,2011-2012,18000000.0,23000000,Spain,Spain,2011
